kind,sample,x,y,value
mean,0,0.000000,0.000000,0.024090
mean,0,0.052632,0.000000,0.036137
mean,0,0.105263,0.000000,0.051500
mean,0,0.157895,0.000000,0.033587
mean,0,0.210526,0.000000,0.017024
mean,0,0.263158,0.000000,0.007928
mean,0,0.315789,0.000000,0.004113
mean,0,0.368421,0.000000,0.003397
mean,0,0.421053,0.000000,0.004756
mean,0,0.473684,0.000000,0.007529
mean,0,0.526316,0.000000,0.009761
mean,0,0.578947,0.000000,0.007354
mean,0,0.631579,0.000000,0.004244
mean,0,0.684211,0.000000,0.002082
mean,0,0.736842,0.000000,0.000864
mean,0,0.789474,0.000000,0.000208
mean,0,0.842105,0.000000,-0.000180
mean,0,0.894737,0.000000,-0.000446
mean,0,0.947368,0.000000,-0.000622
mean,0,1.000000,0.000000,-0.000695
mean,0,0.000000,0.052632,0.036132
mean,0,0.052632,0.052632,0.068960
mean,0,0.105263,0.052632,0.136275
mean,0,0.157895,0.052632,0.065824
mean,0,0.210526,0.052632,0.026581
mean,0,0.263158,0.052632,0.010576
mean,0,0.315789,0.052632,0.005126
mean,0,0.368421,0.052632,0.004720
mean,0,0.421053,0.052632,0.008098
mean,0,0.473684,0.052632,0.015598
mean,0,0.526316,0.052632,0.024162
mean,0,0.578947,0.052632,0.015412
mean,0,0.631579,0.052632,0.007539
mean,0,0.684211,0.052632,0.003222
mean,0,0.736842,0.052632,0.001164
mean,0,0.789474,0.052632,0.000149
mean,0,0.842105,0.052632,-0.000482
mean,0,0.894737,0.052632,-0.000983
mean,0,0.947368,0.052632,-0.001346
mean,0,1.000000,0.052632,-0.001463
mean,0,0.000000,0.105263,0.051477
mean,0,0.052632,0.105263,0.136256
mean,0,0.105263,0.105263,0.495090
mean,0,0.157895,0.105263,0.132676
mean,0,0.210526,0.105263,0.039483
mean,0,0.263158,0.105263,0.013245
mean,0,0.315789,0.105263,0.006220
mean,0,0.368421,0.105263,0.006981
mean,0,0.421053,0.105263,0.015414
mean,0,0.473684,0.105263,0.038200
mean,0,0.526316,0.105263,0.080041
mean,0,0.578947,0.105263,0.038006
mean,0,0.631579,0.105263,0.014818
mean,0,0.684211,0.105263,0.005323
mean,0,0.736842,0.105263,0.001585
mean,0,0.789474,0.105263,-0.000148
mean,0,0.842105,0.105263,-0.001393
mean,0,0.894737,0.105263,-0.002642
mean,0,0.947368,0.105263,-0.003662
mean,0,1.000000,0.105263,-0.003812
mean,0,0.000000,0.157895,0.033521
mean,0,0.052632,0.157895,0.065754
mean,0,0.105263,0.157895,0.132616
mean,0,0.157895,0.157895,0.062984
mean,0,0.210526,0.157895,0.024912
mean,0,0.263158,0.157895,0.009945
mean,0,0.315789,0.157895,0.005749
mean,0,0.368421,0.157895,0.008551
mean,0,0.421053,0.157895,0.023792
mean,0,0.473684,0.157895,0.079947
mean,0,0.526316,0.157895,0.299835
mean,0,0.578947,0.157895,0.079759
mean,0,0.631579,0.157895,0.023219
mean,0,0.684211,0.157895,0.006993
mean,0,0.736842,0.157895,0.001586
mean,0,0.789474,0.157895,-0.001079
mean,0,0.842105,0.157895,-0.003694
mean,0,0.894737,0.157895,-0.007175
mean,0,0.947368,0.157895,-0.010507
mean,0,1.000000,0.157895,-0.010123
mean,0,0.000000,0.210526,0.016851
mean,0,0.052632,0.210526,0.026379
mean,0,0.105263,0.210526,0.039250
mean,0,0.157895,0.210526,0.024714
mean,0,0.210526,0.210526,0.012150
mean,0,0.263158,0.210526,0.005821
mean,0,0.315789,0.210526,0.004030
mean,0,0.368421,0.210526,0.006231
mean,0,0.421053,0.210526,0.015047
mean,0,0.473684,0.210526,0.037909
mean,0,0.526316,0.210526,0.079756
mean,0,0.578947,0.210526,0.037737
mean,0,0.631579,0.210526,0.014526
mean,0,0.684211,0.210526,0.004836
mean,0,0.736842,0.210526,0.000429
mean,0,0.789474,0.210526,-0.003138
mean,0,0.842105,0.210526,-0.008822
mean,0,0.894737,0.210526,-0.019030
mean,0,0.947368,0.210526,-0.031576
mean,0,1.000000,0.210526,-0.026174
mean,0,0.000000,0.263158,0.007506
mean,0,0.052632,0.263158,0.010038
mean,0,0.105263,0.263158,0.012542
mean,0,0.157895,0.263158,0.009187
mean,0,0.210526,0.263158,0.005302
mean,0,0.263158,0.263158,0.002977
mean,0,0.315789,0.263158,0.002351
mean,0,0.368421,0.263158,0.003526
mean,0,0.421053,0.263158,0.007306
mean,0,0.473684,0.263158,0.014793
mean,0,0.526316,0.263158,0.023300
mean,0,0.578947,0.263158,0.014643
mean,0,0.631579,0.263158,0.006838
mean,0,0.684211,0.263158,0.002231
mean,0,0.736842,0.263158,-0.001137
mean,0,0.789474,0.263158,-0.006221
mean,0,0.842105,0.263158,-0.018248
mean,0,0.894737,0.263158,-0.047576
mean,0,0.947368,0.263158,-0.102171
mean,0,1.000000,0.263158,-0.062995
mean,0,0.000000,0.315789,0.003134
mean,0,0.052632,0.315789,0.003764
mean,0,0.105263,0.315789,0.004235
mean,0,0.157895,0.315789,0.003376
mean,0,0.210526,0.315789,0.002199
mean,0,0.263158,0.315789,0.001410
mean,0,0.315789,0.315789,0.001222
mean,0,0.368421,0.315789,0.001744
mean,0,0.421053,0.315789,0.003161
mean,0,0.473684,0.315789,0.005451
mean,0,0.526316,0.315789,0.007306
mean,0,0.578947,0.315789,0.005341
mean,0,0.631579,0.315789,0.002790
mean,0,0.684211,0.315789,0.000619
mean,0,0.736842,0.315789,-0.002124
mean,0,0.789474,0.315789,-0.008581
mean,0,0.842105,0.315789,-0.028621
mean,0,0.894737,0.315789,-0.098432
mean,0,0.947368,0.315789,-0.368706
mean,0,1.000000,0.315789,-0.123637
mean,0,0.000000,0.368421,0.001265
mean,0,0.052632,0.368421,0.001415
mean,0,0.105263,0.368421,0.001495
mean,0,0.157895,0.368421,0.001258
mean,0,0.210526,0.368421,0.000906
mean,0,0.263158,0.368421,0.000653
mean,0,0.315789,0.368421,0.000603
mean,0,0.368421,0.368421,0.000810
mean,0,0.421053,0.368421,0.001305
mean,0,0.473684,0.368421,0.001994
mean,0,0.526316,0.368421,0.002439
mean,0,0.578947,0.368421,0.001966
mean,0,0.631579,0.368421,0.001154
mean,0,0.684211,0.368421,0.000195
mean,0,0.736842,0.368421,-0.001522
mean,0,0.789474,0.368421,-0.005938
mean,0,0.842105,0.368421,-0.017843
mean,0,0.894737,0.368421,-0.047259
mean,0,0.947368,0.368421,-0.101962
mean,0,1.000000,0.368421,-0.062849
mean,0,0.000000,0.421053,0.000511
mean,0,0.052632,0.421053,0.000549
mean,0,0.105263,0.421053,0.000568
mean,0,0.157895,0.421053,0.000511
mean,0,0.210526,0.421053,0.000419
mean,0,0.263158,0.421053,0.000347
mean,0,0.315789,0.421053,0.000332
mean,0,0.368421,0.421053,0.000399
mean,0,0.421053,0.421053,0.000560
mean,0,0.473684,0.421053,0.000776
mean,0,0.526316,0.421053,0.000928
mean,0,0.578947,0.421053,0.000897
mean,0,0.631579,0.421053,0.000817
mean,0,0.684211,0.421053,0.000726
mean,0,0.736842,0.421053,0.000258
mean,0,0.789474,0.421053,-0.001744
mean,0,0.842105,0.421053,-0.007398
mean,0,0.894737,0.421053,-0.018058
mean,0,0.947368,0.421053,-0.030998
mean,0,1.000000,0.421053,-0.025794
mean,0,0.000000,0.473684,0.000230
mean,0,0.052632,0.473684,0.000252
mean,0,0.105263,0.473684,0.000284
mean,0,0.157895,0.473684,0.000311
mean,0,0.210526,0.473684,0.000330
mean,0,0.263158,0.473684,0.000331
mean,0,0.315789,0.473684,0.000309
mean,0,0.368421,0.473684,0.000294
mean,0,0.421053,0.473684,0.000319
mean,0,0.473684,0.473684,0.000396
mean,0,0.526316,0.473684,0.000530
mean,0,0.578947,0.473684,0.000773
mean,0,0.631579,0.473684,0.001309
mean,0,0.684211,0.473684,0.002359
mean,0,0.736842,0.473684,0.003832
mean,0,0.789474,0.473684,0.004359
mean,0,0.842105,0.473684,0.000656
mean,0,0.894737,0.473684,-0.004635
mean,0,0.947368,0.473684,-0.009177
mean,0,1.000000,0.473684,-0.009331
mean,0,0.000000,0.526316,0.000155
mean,0,0.052632,0.526316,0.000199
mean,0,0.105263,0.526316,0.000291
mean,0,0.157895,0.526316,0.000430
mean,0,0.210526,0.526316,0.000588
mean,0,0.263158,0.526316,0.000672
mean,0,0.315789,0.526316,0.000587
mean,0,0.368421,0.526316,0.000442
mean,0,0.421053,0.526316,0.000346
mean,0,0.473684,0.526316,0.000357
mean,0,0.526316,0.526316,0.000551
mean,0,0.578947,0.526316,0.001129
mean,0,0.631579,0.526316,0.002597
mean,0,0.684211,0.526316,0.005928
mean,0,0.736842,0.526316,0.012182
mean,0,0.789474,0.526316,0.019051
mean,0,0.842105,0.526316,0.010952
mean,0,0.894737,0.526316,0.003406
mean,0,0.947368,0.526316,-0.000922
mean,0,1.000000,0.526316,-0.002351
mean,0,0.000000,0.578947,0.000191
mean,0,0.052632,0.578947,0.000296
mean,0,0.105263,0.578947,0.000541
mean,0,0.157895,0.578947,0.000962
mean,0,0.210526,0.578947,0.001506
mean,0,0.263158,0.578947,0.001853
mean,0,0.315789,0.578947,0.001512
mean,0,0.368421,0.578947,0.000984
mean,0,0.421053,0.578947,0.000610
mean,0,0.473684,0.578947,0.000492
mean,0,0.526316,0.578947,0.000738
mean,0,0.578947,0.578947,0.001725
mean,0,0.631579,0.578947,0.004617
mean,0,0.684211,0.578947,0.012504
mean,0,0.736842,0.578947,0.032098
mean,0,0.789474,0.578947,0.067760
mean,0,0.842105,0.578947,0.031648
mean,0,0.894737,0.578947,0.011635
mean,0,0.947368,0.578947,0.003512
mean,0,1.000000,0.578947,0.000847
mean,0,0.000000,0.631579,0.000312
mean,0,0.052632,0.631579,0.000551
mean,0,0.105263,0.631579,0.001154
mean,0,0.157895,0.631579,0.002334
mean,0,0.210526,0.631579,0.004128
mean,0,0.263158,0.631579,0.005576
mean,0,0.315789,0.631579,0.004136
mean,0,0.368421,0.631579,0.002358
mean,0,0.421053,0.631579,0.001225
mean,0,0.473684,0.631579,0.000758
mean,0,0.526316,0.631579,0.000920
mean,0,0.578947,0.631579,0.002141
mean,0,0.631579,0.631579,0.006259
mean,0,0.684211,0.631579,0.019877
mean,0,0.736842,0.631579,0.068046
mean,0,0.789474,0.631579,0.256004
mean,0,0.842105,0.631579,0.067893
mean,0,0.894737,0.631579,0.019607
mean,0,0.947368,0.631579,0.006000
mean,0,1.000000,0.631579,0.002228
mean,0,0.000000,0.684211,0.000507
mean,0,0.052632,0.684211,0.000991
mean,0,0.105263,0.684211,0.002343
mean,0,0.157895,0.684211,0.005426
mean,0,0.210526,0.684211,0.011225
mean,0,0.263158,0.684211,0.017763
mean,0,0.315789,0.684211,0.011231
mean,0,0.368421,0.684211,0.005447
mean,0,0.421053,0.684211,0.002401
mean,0,0.473684,0.684211,0.001152
mean,0,0.526316,0.684211,0.000963
mean,0,0.578947,0.684211,0.001800
mean,0,0.631579,0.684211,0.004660
mean,0,0.684211,0.684211,0.012575
mean,0,0.736842,0.684211,0.032252
mean,0,0.789474,0.684211,0.068069
mean,0,0.842105,0.684211,0.032205
mean,0,0.894737,0.684211,0.012508
mean,0,0.947368,0.684211,0.004653
mean,0,1.000000,0.684211,0.002066
mean,0,0.000000,0.736842,0.000726
mean,0,0.052632,0.736842,0.001555
mean,0,0.105263,0.736842,0.004145
mean,0,0.157895,0.736842,0.011230
mean,0,0.210526,0.736842,0.028806
mean,0,0.263158,0.736842,0.060785
mean,0,0.315789,0.736842,0.028810
mean,0,0.368421,0.736842,0.011243
mean,0,0.421053,0.736842,0.004178
mean,0,0.473684,0.736842,0.001641
mean,0,0.526316,0.736842,0.000941
mean,0,0.578947,0.736842,0.001238
mean,0,0.631579,0.736842,0.002665
mean,0,0.684211,0.736842,0.006087
mean,0,0.736842,0.736842,0.012569
mean,0,0.789474,0.736842,0.019886
mean,0,0.842105,0.736842,0.012556
mean,0,0.894737,0.736842,0.006075
mean,0,0.947368,0.736842,0.002691
mean,0,1.000000,0.736842,0.001384
mean,0,0.000000,0.789474,0.000842
mean,0,0.052632,0.789474,0.001911
mean,0,0.105263,0.789474,0.005597
mean,0,0.157895,0.789474,0.017773
mean,0,0.210526,0.789474,0.060790
mean,0,0.263158,0.789474,0.228545
mean,0,0.315789,0.789474,0.060792
mean,0,0.368421,0.789474,0.017778
mean,0,0.421053,0.789474,0.005608
mean,0,0.473684,0.789474,0.001932
mean,0,0.526316,0.789474,0.000864
